Indicator,ISO,Country,Breakdown,Unit of measure,Year,Value,Flag
Mobile broadband subscriptions per 100 inhabitants,EST,Estonia,All subscriptions,Per 100 inhabitants,2022,204.119,
Mobile broadband subscriptions per 100 inhabitants,EST,Estonia,Data and Voice subscriptions,Per 100 inhabitants,2022,175.975,
Mobile broadband subscriptions per 100 inhabitants,EST,Estonia,Data only subscriptions,Per 100 inhabitants,2022,28.143,
Mobile broadband subscriptions per 100 inhabitants,JPN,Japan,All subscriptions,Per 100 inhabitants,2022,196.475,
Mobile broadband subscriptions per 100 inhabitants,JPN,Japan,Data and Voice subscriptions,Per 100 inhabitants,2022,106.261,
Mobile broadband subscriptions per 100 inhabitants,JPN,Japan,Data only subscriptions,Per 100 inhabitants,2022,90.214,
Mobile broadband subscriptions per 100 inhabitants,USA,United States,All subscriptions,Per 100 inhabitants,2022,176.033,
Mobile broadband subscriptions per 100 inhabitants,USA,United States,Data and Voice subscriptions,Per 100 inhabitants,2022,176.033,
Mobile broadband subscriptions per 100 inhabitants,FIN,Finland,All subscriptions,Per 100 inhabitants,2022,159.981,
Mobile broadband subscriptions per 100 inhabitants,FIN,Finland,Data and Voice subscriptions,Per 100 inhabitants,2022,121.471,
Mobile broadband subscriptions per 100 inhabitants,FIN,Finland,Data only subscriptions,Per 100 inhabitants,2022,38.511,
Mobile broadband subscriptions per 100 inhabitants,ISR,Israel,All subscriptions,Per 100 inhabitants,2022,144.051,
Mobile broadband subscriptions per 100 inhabitants,ISR,Israel,Data and Voice subscriptions,Per 100 inhabitants,2022,144.051,
Mobile broadband subscriptions per 100 inhabitants,DNK,Denmark,All subscriptions,Per 100 inhabitants,2022,141.775,
Mobile broadband subscriptions per 100 inhabitants,DNK,Denmark,Data and Voice subscriptions,Per 100 inhabitants,2022,120.706,
Mobile broadband subscriptions per 100 inhabitants,DNK,Denmark,Data only subscriptions,Per 100 inhabitants,2022,21.069,
Mobile broadband subscriptions per 100 inhabitants,SWE,Sweden,All subscriptions,Per 100 inhabitants,2022,133.154,
Mobile broadband subscriptions per 100 inhabitants,SWE,Sweden,Data and Voice subscriptions,Per 100 inhabitants,2022,118.675,
Mobile broadband subscriptions per 100 inhabitants,SWE,Sweden,Data only subscriptions,Per 100 inhabitants,2022,14.479,
Mobile broadband subscriptions per 100 inhabitants,POL,Poland,All subscriptions,Per 100 inhabitants,2022,132.474,
Mobile broadband subscriptions per 100 inhabitants,POL,Poland,Data and Voice subscriptions,Per 100 inhabitants,2022,109.346,
Mobile broadband subscriptions per 100 inhabitants,POL,Poland,Data only subscriptions,Per 100 inhabitants,2022,23.128,
Mobile broadband subscriptions per 100 inhabitants,OECD,OECD,All subscriptions,Per 100 inhabitants,2022,127.878,
Mobile broadband subscriptions per 100 inhabitants,OECD,OECD,Data and Voice subscriptions,Per 100 inhabitants,2022,115.624,
Mobile broadband subscriptions per 100 inhabitants,OECD,OECD,Data only subscriptions,Per 100 inhabitants,2022,12.254,
Mobile broadband subscriptions per 100 inhabitants,LTU,Lithuania,All subscriptions,Per 100 inhabitants,2022,127.709,
Mobile broadband subscriptions per 100 inhabitants,LTU,Lithuania,Data and Voice subscriptions,Per 100 inhabitants,2022,98.022,
Mobile broadband subscriptions per 100 inhabitants,LTU,Lithuania,Data only subscriptions,Per 100 inhabitants,2022,29.687,
Mobile broadband subscriptions per 100 inhabitants,AUS,Australia,All subscriptions,Per 100 inhabitants,2022,127.273,
Mobile broadband subscriptions per 100 inhabitants,AUS,Australia,Data and Voice subscriptions,Per 100 inhabitants,2022,110.324,
Mobile broadband subscriptions per 100 inhabitants,AUS,Australia,Data only subscriptions,Per 100 inhabitants,2022,16.949,
Mobile broadband subscriptions per 100 inhabitants,ISL,Iceland,All subscriptions,Per 100 inhabitants,2022,123.721,
Mobile broadband subscriptions per 100 inhabitants,ISL,Iceland,Data and Voice subscriptions,Per 100 inhabitants,2022,106.662,
Mobile broadband subscriptions per 100 inhabitants,ISL,Iceland,Data only subscriptions,Per 100 inhabitants,2022,17.059,
Mobile broadband subscriptions per 100 inhabitants,NLD,Netherlands,All subscriptions,Per 100 inhabitants,2022,122.578,
Mobile broadband subscriptions per 100 inhabitants,NLD,Netherlands,Data and Voice subscriptions,Per 100 inhabitants,2022,117.387,
Mobile broadband subscriptions per 100 inhabitants,NLD,Netherlands,Data only subscriptions,Per 100 inhabitants,2022,5.191,
Mobile broadband subscriptions per 100 inhabitants,KOR,Korea,All subscriptions,Per 100 inhabitants,2022,120.149,
Mobile broadband subscriptions per 100 inhabitants,KOR,Korea,Data and Voice subscriptions,Per 100 inhabitants,2022,114.461,
Mobile broadband subscriptions per 100 inhabitants,KOR,Korea,Data only subscriptions,Per 100 inhabitants,2022,5.688,
Mobile broadband subscriptions per 100 inhabitants,LVA,Latvia,All subscriptions,Per 100 inhabitants,2022,117.822,
Mobile broadband subscriptions per 100 inhabitants,LVA,Latvia,Data and Voice subscriptions,Per 100 inhabitants,2022,96.613,
Mobile broadband subscriptions per 100 inhabitants,LVA,Latvia,Data only subscriptions,Per 100 inhabitants,2022,21.209,
Mobile broadband subscriptions per 100 inhabitants,IRL,Ireland,All subscriptions,Per 100 inhabitants,2022,115.976,
Mobile broadband subscriptions per 100 inhabitants,IRL,Ireland,Data and Voice subscriptions,Per 100 inhabitants,2022,109.034,
Mobile broadband subscriptions per 100 inhabitants,IRL,Ireland,Data only subscriptions,Per 100 inhabitants,2022,6.943,
Mobile broadband subscriptions per 100 inhabitants,ZAF,South Africa,All subscriptions,Per 100 inhabitants,2021,115.67526,
Mobile broadband subscriptions per 100 inhabitants,GBR,United Kingdom,All subscriptions,Per 100 inhabitants,2022,114.577,
Mobile broadband subscriptions per 100 inhabitants,GBR,United Kingdom,Data and Voice subscriptions,Per 100 inhabitants,2022,106.779,
Mobile broadband subscriptions per 100 inhabitants,GBR,United Kingdom,Data only subscriptions,Per 100 inhabitants,2022,7.798,
Mobile broadband subscriptions per 100 inhabitants,AUT,Austria,All subscriptions,Per 100 inhabitants,2022,114.452,
Mobile broadband subscriptions per 100 inhabitants,AUT,Austria,Data and Voice subscriptions,Per 100 inhabitants,2022,84.272,
Mobile broadband subscriptions per 100 inhabitants,AUT,Austria,Data only subscriptions,Per 100 inhabitants,2022,30.18,
Mobile broadband subscriptions per 100 inhabitants,LUX,Luxembourg,All subscriptions,Per 100 inhabitants,2022,114.299,
Mobile broadband subscriptions per 100 inhabitants,LUX,Luxembourg,Data and Voice subscriptions,Per 100 inhabitants,2022,111.168,
Mobile broadband subscriptions per 100 inhabitants,LUX,Luxembourg,Data only subscriptions,Per 100 inhabitants,2022,3.131,
Mobile broadband subscriptions per 100 inhabitants,ESP,Spain,All subscriptions,Per 100 inhabitants,2022,110.01,
Mobile broadband subscriptions per 100 inhabitants,ESP,Spain,Data and Voice subscriptions,Per 100 inhabitants,2022,107.701,
Mobile broadband subscriptions per 100 inhabitants,ESP,Spain,Data only subscriptions,Per 100 inhabitants,2022,2.308,
Mobile broadband subscriptions per 100 inhabitants,IDN,Indonesia,All subscriptions,Per 100 inhabitants,2021,109.33365,
Mobile broadband subscriptions per 100 inhabitants,CHL,Chile,All subscriptions,Per 100 inhabitants,2022,107.033,
Mobile broadband subscriptions per 100 inhabitants,CHL,Chile,Data and Voice subscriptions,Per 100 inhabitants,2022,104.525,
Mobile broadband subscriptions per 100 inhabitants,CHL,Chile,Data only subscriptions,Per 100 inhabitants,2022,2.508,
Mobile broadband subscriptions per 100 inhabitants,CHN,China (People’s Republic of),All subscriptions,Per 100 inhabitants,2021,104.76943,
Mobile broadband subscriptions per 100 inhabitants,CHE,Switzerland,All subscriptions,Per 100 inhabitants,2022,103.633,
Mobile broadband subscriptions per 100 inhabitants,CHE,Switzerland,Data and Voice subscriptions,Per 100 inhabitants,2022,94.597,
Mobile broadband subscriptions per 100 inhabitants,CHE,Switzerland,Data only subscriptions,Per 100 inhabitants,2022,9.036,
Mobile broadband subscriptions per 100 inhabitants,NZL,New Zealand,All subscriptions,Per 100 inhabitants,2022,103.297,
Mobile broadband subscriptions per 100 inhabitants,NZL,New Zealand,Data and Voice subscriptions,Per 100 inhabitants,2022,97.101,
Mobile broadband subscriptions per 100 inhabitants,NZL,New Zealand,Data only subscriptions,Per 100 inhabitants,2022,6.195,
Mobile broadband subscriptions per 100 inhabitants,CZE,Czechia,All subscriptions,Per 100 inhabitants,2022,103.142,
Mobile broadband subscriptions per 100 inhabitants,CZE,Czechia,Data and Voice subscriptions,Per 100 inhabitants,2022,100.217,
Mobile broadband subscriptions per 100 inhabitants,CZE,Czechia,Data only subscriptions,Per 100 inhabitants,2022,2.926,
Mobile broadband subscriptions per 100 inhabitants,NOR,Norway,All subscriptions,Per 100 inhabitants,2022,102.864,
Mobile broadband subscriptions per 100 inhabitants,NOR,Norway,Data and Voice subscriptions,Per 100 inhabitants,2022,97.947,
Mobile broadband subscriptions per 100 inhabitants,NOR,Norway,Data only subscriptions,Per 100 inhabitants,2022,4.916,
Mobile broadband subscriptions per 100 inhabitants,FRA,France,All subscriptions,Per 100 inhabitants,2022,100.913,
Mobile broadband subscriptions per 100 inhabitants,FRA,France,Data and Voice subscriptions,Per 100 inhabitants,2022,95.344,
Mobile broadband subscriptions per 100 inhabitants,FRA,France,Data only subscriptions,Per 100 inhabitants,2022,5.569,
Mobile broadband subscriptions per 100 inhabitants,GRC,Greece,All subscriptions,Per 100 inhabitants,2022,98.269,
Mobile broadband subscriptions per 100 inhabitants,GRC,Greece,Data and Voice subscriptions,Per 100 inhabitants,2022,94.206,
Mobile broadband subscriptions per 100 inhabitants,GRC,Greece,Data only subscriptions,Per 100 inhabitants,2022,4.064,
Mobile broadband subscriptions per 100 inhabitants,SVN,Slovenia,All subscriptions,Per 100 inhabitants,2022,96.522,
Mobile broadband subscriptions per 100 inhabitants,SVN,Slovenia,Data and Voice subscriptions,Per 100 inhabitants,2022,88.251,
Mobile broadband subscriptions per 100 inhabitants,SVN,Slovenia,Data only subscriptions,Per 100 inhabitants,2022,8.271,
Mobile broadband subscriptions per 100 inhabitants,ITA,Italy,All subscriptions,Per 100 inhabitants,2022,96.069,
Mobile broadband subscriptions per 100 inhabitants,ITA,Italy,Data and Voice subscriptions,Per 100 inhabitants,2022,85.417,
Mobile broadband subscriptions per 100 inhabitants,ITA,Italy,Data only subscriptions,Per 100 inhabitants,2022,10.652,
Mobile broadband subscriptions per 100 inhabitants,CRI,Costa Rica,All subscriptions,Per 100 inhabitants,2022,95.915,
Mobile broadband subscriptions per 100 inhabitants,CRI,Costa Rica,Data and Voice subscriptions,Per 100 inhabitants,2022,93.486,
Mobile broadband subscriptions per 100 inhabitants,CRI,Costa Rica,Data only subscriptions,Per 100 inhabitants,2022,2.429,
Mobile broadband subscriptions per 100 inhabitants,BRA,Brazil,All subscriptions,Per 100 inhabitants,2021,95.899872,
Mobile broadband subscriptions per 100 inhabitants,PRT,Portugal,All subscriptions,Per 100 inhabitants,2022,95.714,
Mobile broadband subscriptions per 100 inhabitants,PRT,Portugal,Data and Voice subscriptions,Per 100 inhabitants,2022,88.794,
Mobile broadband subscriptions per 100 inhabitants,PRT,Portugal,Data only subscriptions,Per 100 inhabitants,2022,6.921,
Mobile broadband subscriptions per 100 inhabitants,BEL,Belgium,All subscriptions,Per 100 inhabitants,2022,94.591,
Mobile broadband subscriptions per 100 inhabitants,BEL,Belgium,Data and Voice subscriptions,Per 100 inhabitants,2022,91.358,
Mobile broadband subscriptions per 100 inhabitants,BEL,Belgium,Data only subscriptions,Per 100 inhabitants,2022,3.233,
Mobile broadband subscriptions per 100 inhabitants,DEU,Germany,All subscriptions,Per 100 inhabitants,2022,92.132,
Mobile broadband subscriptions per 100 inhabitants,DEU,Germany,Data and Voice subscriptions,Per 100 inhabitants,2022,88.278,
Mobile broadband subscriptions per 100 inhabitants,DEU,Germany,Data only subscriptions,Per 100 inhabitants,2022,3.855,
Mobile broadband subscriptions per 100 inhabitants,SVK,Slovak Republic,All subscriptions,Per 100 inhabitants,2022,88.995,
Mobile broadband subscriptions per 100 inhabitants,SVK,Slovak Republic,Data and Voice subscriptions,Per 100 inhabitants,2022,81.81,
Mobile broadband subscriptions per 100 inhabitants,SVK,Slovak Republic,Data only subscriptions,Per 100 inhabitants,2022,7.185,
Mobile broadband subscriptions per 100 inhabitants,MEX,Mexico,All subscriptions,Per 100 inhabitants,2022,87.167,
Mobile broadband subscriptions per 100 inhabitants,MEX,Mexico,Data and Voice subscriptions,Per 100 inhabitants,2022,85.998,
Mobile broadband subscriptions per 100 inhabitants,MEX,Mexico,Data only subscriptions,Per 100 inhabitants,2022,1.168,
Mobile broadband subscriptions per 100 inhabitants,HUN,Hungary,All subscriptions,Per 100 inhabitants,2022,86.232,
Mobile broadband subscriptions per 100 inhabitants,HUN,Hungary,Data and Voice subscriptions,Per 100 inhabitants,2022,79.498,
Mobile broadband subscriptions per 100 inhabitants,HUN,Hungary,Data only subscriptions,Per 100 inhabitants,2022,6.735,
Mobile broadband subscriptions per 100 inhabitants,CAN,Canada,All subscriptions,Per 100 inhabitants,2022,85.103,
Mobile broadband subscriptions per 100 inhabitants,CAN,Canada,Data and Voice subscriptions,Per 100 inhabitants,2022,79.575,
Mobile broadband subscriptions per 100 inhabitants,CAN,Canada,Data only subscriptions,Per 100 inhabitants,2022,5.529,
Mobile broadband subscriptions per 100 inhabitants,TUR,Türkiye,All subscriptions,Per 100 inhabitants,2022,84.017,
Mobile broadband subscriptions per 100 inhabitants,TUR,Türkiye,Data and Voice subscriptions,Per 100 inhabitants,2022,83.188,
Mobile broadband subscriptions per 100 inhabitants,TUR,Türkiye,Data only subscriptions,Per 100 inhabitants,2022,0.828,
Mobile broadband subscriptions per 100 inhabitants,COL,Colombia,All subscriptions,Per 100 inhabitants,2022,78.251,
Mobile broadband subscriptions per 100 inhabitants,COL,Colombia,Data and Voice subscriptions,Per 100 inhabitants,2022,77.324,
Mobile broadband subscriptions per 100 inhabitants,COL,Colombia,Data only subscriptions,Per 100 inhabitants,2022,0.927,
Mobile broadband subscriptions per 100 inhabitants,EGY,Egypt,All subscriptions,Per 100 inhabitants,2022,65,
Mobile broadband subscriptions per 100 inhabitants,IND,India,All subscriptions,Per 100 inhabitants,2021,54.419693,